epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,34.9316,1.47756,1.31567,0.97089,0.97927,0.72,0.87631,0.52487,1.27603,0.92585,0.89884,0.002872,0.002872,0.002872
74,35.3916,1.28751,1.06893,0.9535,0.92103,0.74,0.88387,0.53374,1.24135,0.88415,0.90256,0.002773,0.002773,0.002773
75,35.8471,1.3627,1.11207,0.93678,0.92509,0.74095,0.89219,0.57364,1.16362,0.85345,0.88026,0.002674,0.002674,0.002674
76,36.3102,1.46581,1.19023,0.93288,0.8493,0.78912,0.89184,0.56083,1.17593,0.86735,0.8858,0.002575,0.002575,0.002575
77,36.7442,1.45162,1.14762,0.93789,0.8493,0.78912,0.89184,0.56083,1.17593,0.86735,0.8858,0.002476,0.002476,0.002476
78,37.1822,1.28423,1.10024,0.90811,0.80302,0.8154,0.88704,0.52995,1.20228,0.89756,0.88681,0.002377,0.002377,0.002377
79,37.6458,1.39318,1.1369,0.94583,0.84228,0.74,0.85512,0.52576,1.19201,0.89362,0.88603,0.002278,0.002278,0.002278
80,38.0943,1.3445,1.18631,0.92512,0.95046,0.76748,0.89868,0.57711,1.13999,0.84497,0.87173,0.002179,0.002179,0.002179
81,38.5311,1.25133,1.12607,0.91333,0.95046,0.76748,0.89868,0.57711,1.13999,0.84497,0.87173,0.00208,0.00208,0.00208
82,38.9948,1.47298,1.21878,0.93084,0.9749,0.77692,0.89702,0.56768,1.10913,0.83383,0.86296,0.001981,0.001981,0.001981
83,39.4393,1.42784,1.17871,0.91261,0.95045,0.76744,0.9073,0.571,1.14971,0.8487,0.86169,0.001882,0.001882,0.001882
84,39.8909,1.48052,1.22605,0.94094,0.88464,0.84,0.89474,0.57969,1.13603,0.8387,0.8615,0.001783,0.001783,0.001783
85,40.337,1.28977,1.18688,0.92565,0.88464,0.84,0.89474,0.57969,1.13603,0.8387,0.8615,0.001684,0.001684,0.001684
86,40.787,1.06942,0.97598,0.92703,0.9545,0.83917,0.89832,0.57584,1.15988,0.82534,0.86705,0.001585,0.001585,0.001585
87,41.2385,1.4647,1.09729,0.95325,0.97384,0.84,0.92169,0.59655,1.1314,0.82442,0.86081,0.001486,0.001486,0.001486
88,41.7013,1.29597,1.03958,0.93091,0.93712,0.84,0.92423,0.59244,1.12685,0.83429,0.85924,0.001387,0.001387,0.001387
89,42.1238,1.19877,1.06138,0.88406,0.93712,0.84,0.92423,0.59244,1.12685,0.83429,0.85924,0.001288,0.001288,0.001288
90,42.6684,1.44355,1.11882,0.92714,0.9261,0.86,0.92659,0.58706,1.10316,0.82199,0.85824,0.001189,0.001189,0.001189
91,43.6831,1.30473,1.32207,0.93132,0.92607,0.84,0.92421,0.5882,1.11151,0.80881,0.86001,0.00109,0.00109,0.00109
92,44.1355,1.30977,1.21476,0.94626,0.9533,0.81656,0.91851,0.59272,1.11895,0.82143,0.86065,0.000991,0.000991,0.000991
93,44.5617,1.18766,1.07527,0.91155,0.9533,0.81656,0.91851,0.59272,1.11895,0.82143,0.86065,0.000892,0.000892,0.000892
94,44.9979,1.36049,1.18958,0.92028,0.95146,0.84,0.92221,0.594,1.13004,0.81965,0.8587,0.000793,0.000793,0.000793
95,45.4446,1.22291,1.16597,0.86429,0.95229,0.84,0.92837,0.60186,1.11441,0.81826,0.85546,0.000694,0.000694,0.000694
96,45.9096,1.24622,1.11147,0.91742,0.93287,0.86,0.9272,0.61253,1.09825,0.81225,0.85228,0.000595,0.000595,0.000595
97,46.3451,1.27207,1.21869,0.93531,0.93287,0.86,0.9272,0.61253,1.09825,0.81225,0.85228,0.000496,0.000496,0.000496
98,46.793,1.18172,1.14499,0.91501,0.92801,0.86,0.91554,0.61017,1.08307,0.80426,0.84948,0.000397,0.000397,0.000397
99,47.2346,1.15111,1.09785,0.89767,0.95173,0.86,0.9173,0.62683,1.07078,0.79227,0.84781,0.000298,0.000298,0.000298
100,47.694,1.26195,1.13861,0.8913,0.97719,0.85697,0.93297,0.62944,1.05803,0.78963,0.8474,0.000199,0.000199,0.000199
